"is:merged merged:{{"">1""|relative_date}} {{param}}",label:merged-by-bors|merged by bors,-label:merged-by-bors|rolled up
2019-04-12,7,15
2019-04-11,5,0
2019-04-10,2,0
2019-04-09,0,0
2019-04-08,3,0
2019-04-07,6,5
2019-04-06,5,6
2019-04-05,6,5
2019-04-04,7,14
2019-04-03,6,4
2019-04-02,2,12
2019-04-01,3,7
2019-03-31,4,14
2019-03-30,5,14
2019-03-29,5,30
2019-03-28,3,30
2019-03-26,4,10
2019-03-25,6,0
2019-03-24,4,7
2019-03-23,5,18
2019-03-22,6,0
2019-03-21,5,0
2019-03-20,4,6
2019-03-19,4,11
2019-03-18,4,0
2019-03-17,3,0
2019-03-16,2,38
2019-03-15,3,0
2019-03-14,4,0
2019-03-13,5,15
2019-03-12,3,0
2019-03-11,5,0
2019-03-10,2,0
2019-03-09,5,37
2019-03-08,3,0
2019-03-07,1,0
2019-03-06,0,0
2019-03-05,1,0
2019-03-04,3,0
2019-03-03,5,14
2019-03-02,5,0
2019-03-01,4,0
2019-02-28,3,0
2019-02-27,5,14
2019-02-26,4,0
2019-02-25,6,15
2019-02-24,4,6
2019-02-23,5,33
2019-02-22,5,0
2019-02-21,4,0
2019-02-20,2,25
2019-02-19,5,0
2019-02-18,3,0
2019-02-17,3,19
2019-02-16,2,0
2019-02-15,2,0
2019-02-14,3,25
2019-02-13,5,12
2019-02-12,5,11
2019-02-11,5,16
2019-02-10,6,0
2019-02-09,5,18
2019-02-08,4,0
2019-02-07,6,34
