is:open label:{{param}},S-waiting-on-author,S-waiting-on-review,S-waiting-on-team,S-waiting-on-crater,S-waiting-on-bikeshed,S-blocked,S-waiting-on-bors
2019-03-14,29,74,10,0,0,8,60
2019-03-13,31,72,10,0,0,8,52
2019-03-12,29,77,10,0,0,7,61
2019-03-11,34,78,10,0,0,7,48
2019-03-10,46,80,10,0,0,5,36
2019-03-09,47,77,10,0,0,4,28
2019-03-08,43,70,9,0,0,6,68
2019-03-07,42,75,11,0,0,6,63
2019-03-06,41,71,11,0,0,6,58
2019-03-05,45,69,11,3,0,7,43
2019-03-04,45,70,11,3,0,7,29
2019-03-03,39,80,11,3,0,8,16
2019-03-02,42,78,11,2,0,8,30
2019-03-01,37,74,11,2,0,9,33
2019-02-28,39,72,11,2,0,10,23
2019-02-27,40,65,11,3,0,10,16
2019-02-26,37,73,9,3,0,11,24
2019-02-25,37,73,9,2,0,10,15
2019-02-24,46,82,10,0,0,10,7
2019-02-23,41,76,10,0,0,10,19
2019-02-22,33,87,11,0,0,9,46
2019-02-21,29,84,11,0,0,9,37
2019-02-20,30,91,10,0,0,9,28
2019-02-19,33,83,10,0,0,9,43
2019-02-18,30,87,10,0,0,9,38
2019-02-17,32,94,11,0,0,9,26
2019-02-16,32,90,11,0,0,10,35
2019-02-15,34,86,11,0,0,9,29
2019-02-14,32,86,12,1,0,10,18
2019-02-13,33,92,12,1,0,8,27
2019-02-12,31,89,12,2,0,8,37
2019-02-11,35,94,14,2,0,10,30
2019-02-10,32,101,12,1,0,11,40
2019-02-09,33,97,12,1,0,10,33
2019-02-08,32,94,13,1,0,10,52
2019-02-07,33,103,12,0,0,12,25
2019-02-06,28,101,13,1,0,12,47
2019-02-05,30,97,13,1,0,12,23
2019-02-04,29,115,13,0,0,11,19
2019-02-03,37,106,12,0,0,11,7
2019-02-02,36,81,12,1,0,11,5
2019-02-01,34,78,11,1,0,11,4
2019-01-31,35,69,11,2,0,10,6
2019-01-30,35,73,12,1,0,9,16
2019-01-29,40,62,11,0,0,9,10
2019-01-28,40,69,11,0,0,6,14
2019-01-27,50,74,11,1,0,6,7
2019-01-26,51,75,11,1,0,6,4
2019-01-25,50,68,13,1,0,6,21
2019-01-24,55,77,13,1,0,6,16
2019-01-23,52,79,11,0,0,6,24
2019-01-22,54,77,11,0,0,6,13
2019-01-21,57,81,11,0,0,6,14
2019-01-20,54,92,12,0,0,4,8
2019-01-19,55,87,11,1,0,4,14
2019-01-18,58,91,12,1,0,4,51
2019-01-17,59,99,11,0,0,6,33
2019-01-16,56,92,11,1,0,6,30
2019-01-08,53,103,13,0,0,6,22
2019-01-07,55,108,11,0,0,5,18
2019-01-06,59,115,12,0,0,7,6
2019-01-05,57,104,10,1,0,6,32
2019-01-04,58,106,10,2,0,6,29
2019-01-03,59,105,10,1,0,6,26
2019-01-02,53,101,10,0,0,7,17
2019-01-01,54,111,10,0,0,7,3
2018-12-31,51,109,10,0,0,7,7
2018-12-30,57,106,9,0,0,7,4
2018-12-29,52,106,9,0,0,8,13
2018-12-28,56,101,8,0,0,7,10
2018-12-27,51,106,8,0,0,6,9
2018-12-26,57,105,7,0,0,6,5
2018-12-25,56,103,7,0,0,6,2
2018-12-24,55,97,7,1,0,6,6
2018-12-23,49,106,6,0,0,6,27
2018-12-22,49,105,6,0,0,6,47
2018-12-21,46,103,6,1,0,6,48
2018-12-20,45,100,6,0,0,6,34
2018-12-19,47,95,6,1,0,6,29
2018-12-18,43,93,6,2,0,7,33
2018-12-17,46,97,6,2,0,8,15
2018-12-16,45,94,7,0,0,8,30
2018-12-15,44,92,7,1,0,9,35
2018-12-14,42,85,7,1,0,9,42
2018-12-13,40,86,7,1,0,9,47
2018-12-12,41,88,8,1,0,9,37
2018-12-11,40,89,8,2,0,9,23
2018-12-10,40,90,9,1,0,11,13
2018-12-09,43,97,8,1,0,9,1
2018-12-08,42,95,8,1,0,8,4
2018-12-07,43,86,7,2,0,10,4
2018-12-06,39,79,7,1,0,11,15
2018-12-05,36,87,7,1,0,12,34
2018-12-04,38,80,7,2,0,12,30
2018-12-03,42,89,7,1,0,11,11
2018-12-02,39,86,6,0,0,12,20
2018-12-01,38,84,6,1,0,11,17
2018-11-30,35,77,5,1,0,13,34
2018-11-29,35,74,5,1,0,13,17
2018-11-28,32,71,5,1,0,14,39
2018-11-27,33,67,5,2,0,14,32
2018-11-26,31,82,5,0,0,14,12
2018-11-25,34,73,5,1,0,15,24
2018-11-24,33,75,5,1,0,16,15
2018-11-23,32,73,5,1,0,17,29
2018-11-22,32,73,5,1,0,17,31
2018-11-21,34,65,5,2,0,17,33
2018-11-20,36,65,6,1,0,18,24
2018-11-19,32,65,6,1,0,17,18
2018-11-18,32,62,7,2,0,14,36
2018-11-17,32,59,7,2,0,14,34
2018-11-16,33,61,6,1,0,14,24
2018-11-15,24,64,6,1,0,13,22
2018-11-14,26,67,5,2,0,13,28
2018-11-13,30,72,6,0,0,14,36
2018-11-12,29,75,6,1,0,15,29
2018-11-11,31,90,6,0,0,15,10
2018-11-10,28,82,6,0,0,15,30
2018-11-09,26,81,6,1,0,15,27
2018-11-08,29,77,7,0,0,15,29
2018-11-07,32,71,8,1,0,13,35
2018-11-06,30,82,8,2,0,13,20
2018-11-05,30,87,8,1,0,13,24
2018-11-04,30,86,7,1,0,13,15
2018-11-03,29,84,7,1,0,13,19
2018-11-02,30,73,7,1,0,13,18
2018-11-01,29,72,6,1,0,13,29
2018-10-31,29,61,6,1,0,13,18
2018-10-30,32,55,7,2,0,13,10
2018-10-29,32,64,7,0,0,14,14
2018-10-28,32,61,7,0,0,14,27
2018-10-27,34,57,7,1,0,15,19
2018-10-26,33,56,7,1,0,15,41
2018-10-25,31,54,7,1,0,15,29
2018-10-24,34,62,6,1,0,17,35
2018-10-23,34,62,6,0,0,17,25
2018-10-22,32,75,5,0,0,17,4
2018-10-21,32,74,5,1,0,17,4
2018-10-20,32,73,6,0,0,18,9
2018-10-19,29,72,6,0,0,19,10
2018-10-18,28,66,6,0,0,18,17
2018-10-17,28,69,9,0,0,18,25
2018-10-16,27,66,9,1,0,19,22
2018-10-15,32,80,6,1,0,17,16
2018-10-14,35,80,6,1,0,17,10
2018-10-13,36,74,6,2,0,16,9
2018-10-12,38,65,6,2,0,16,14
2018-10-11,36,71,6,1,0,16,22
2018-10-10,35,64,5,1,0,16,28
2018-10-09,37,65,7,0,0,16,20
2018-10-08,41,69,5,0,0,13,11
2018-10-07,40,77,5,0,0,13,5
2018-10-06,40,73,4,0,0,13,10
2018-10-05,42,66,4,0,0,12,21
2018-10-04,39,67,4,0,0,12,15
2018-10-03,39,66,4,1,0,14,17
2018-10-02,38,65,4,1,0,13,17
2018-10-01,42,65,4,1,0,12,4
2018-09-30,43,64,4,1,0,12,12
2018-09-29,45,60,4,0,0,12,8
2018-09-28,42,57,3,0,0,11,16
2018-09-27,46,54,3,0,0,11,12
2018-09-26,46,55,3,0,0,10,11
2018-09-25,37,70,2,0,0,9,18
2018-09-24,30,76,2,1,0,10,10
2018-09-23,30,74,2,0,0,10,10
2018-09-22,30,69,1,1,0,11,11
2018-09-21,32,69,1,0,0,11,26
2018-09-20,30,62,1,0,0,12,35
2018-09-19,29,62,1,2,0,12,25
2018-09-18,28,55,1,0,0,13,23
2018-09-17,30,59,2,1,0,13,21
2018-09-16,34,63,3,1,0,13,7
2018-09-15,37,61,3,0,0,13,9
2018-09-14,37,49,3,3,0,14,10
2018-09-13,36,49,4,0,0,15,21
2018-09-12,35,46,5,0,0,17,18
2018-09-11,32,51,4,0,0,17,27
2018-09-10,35,61,4,1,0,7,20
2018-09-09,38,63,4,0,0,8,13
2018-09-08,40,62,4,0,0,9,8
2018-09-07,38,62,4,0,0,8,20
2018-09-06,37,67,4,0,0,7,26
2018-09-05,40,63,5,1,0,8,16
2018-09-04,35,67,8,2,0,8,10
2018-09-03,36,64,7,2,0,7,6
2018-09-02,42,68,6,2,0,8,0
2018-09-01,41,61,6,2,0,8,15
2018-08-31,39,60,6,1,0,6,14
2018-08-30,39,64,7,3,0,6,24
2018-08-29,38,57,7,3,0,7,26
2018-08-28,39,50,7,5,0,7,26
2018-08-27,34,60,7,5,0,12,15
2018-08-26,26,81,4,4,0,12,12
2018-08-25,27,78,4,2,0,11,17
2018-08-24,22,85,4,2,0,12,32
2018-08-23,30,79,4,2,0,11,18
2018-08-22,20,82,4,1,0,12,25
2018-08-21,20,79,4,2,0,12,37
2018-08-20,23,76,4,2,0,10,24
2018-08-19,21,75,4,3,0,10,13
2018-08-18,25,76,4,2,0,10,6
2018-08-17,25,72,4,2,0,10,19
2018-08-16,31,70,4,1,0,11,24
2018-08-15,34,72,4,0,0,11,21
2018-08-14,33,65,4,0,0,10,29
2018-08-13,32,66,2,0,0,10,20
2018-08-12,31,61,2,0,0,10,36
2018-08-11,32,64,2,0,0,10,26
2018-08-10,33,59,2,0,0,10,23
2018-08-09,31,59,2,0,0,10,28
2018-08-08,30,61,2,0,0,9,18
2018-08-07,35,57,2,0,0,9,16
2018-08-06,33,67,2,0,0,8,11
2018-08-05,31,62,2,0,0,9,12
2018-08-04,29,59,2,0,0,9,25
2018-08-03,30,60,3,0,0,9,12
2018-08-02,26,48,3,0,0,8,16
2018-08-01,29,46,3,0,0,9,23
2018-07-31,28,44,4,0,0,10,38
