is:open created:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2023-09-27,0,0,0,1,2,16
2023-09-26,0,0,0,0,2,16
2023-09-25,1,4,1,0,2,16
2023-09-24,1,3,1,0,2,16
2023-09-23,5,0,1,0,2,16
2023-09-22,0,0,0,0,2,16
2023-09-21,3,1,1,0,1,16
2023-09-20,0,2,1,1,1,16
2023-09-19,4,0,0,1,1,16
2023-09-18,0,1,0,1,1,16
2023-09-17,3,1,0,1,1,16
2023-09-16,2,0,0,1,1,16
2023-09-15,0,0,0,1,0,16
2023-09-14,1,0,0,1,0,16
2023-09-13,2,0,1,1,0,16
2023-09-12,0,0,4,1,0,17
2023-09-11,0,0,3,1,0,18
2023-09-10,2,3,2,1,0,18
2023-09-09,2,2,0,1,1,17
2023-09-08,1,3,0,0,1,17
2023-09-07,4,2,1,0,1,17
2023-09-06,2,0,1,0,1,17
2023-09-05,1,0,1,0,1,17
2023-09-04,0,0,0,0,1,17
2023-09-03,1,2,0,0,1,17
2023-09-02,2,3,0,0,1,17
2023-09-01,3,0,0,0,1,17
2023-08-31,1,0,0,0,1,17
2023-08-30,2,0,0,0,1,17
2023-08-29,2,0,0,0,1,17
2023-08-28,1,0,0,0,1,17
2023-08-27,0,0,0,0,1,17
2023-08-26,5,0,0,0,1,17
2023-08-25,0,0,2,0,0,18
2023-08-24,0,1,2,1,0,18
2023-08-23,1,2,1,1,0,18
2023-08-22,3,1,0,1,1,18
2023-08-21,1,2,0,1,1,18
2023-08-20,1,1,1,1,1,18
2023-08-19,2,3,1,1,1,18
2023-08-18,3,0,1,0,1,18
2023-08-17,1,0,1,0,1,18
2023-08-16,1,1,1,0,0,18
2023-08-15,2,1,1,1,0,18
2023-08-14,1,0,0,1,1,17
2023-08-13,1,1,0,1,1,17
2023-08-12,0,1,0,1,1,17
2023-08-11,2,0,0,1,1,17
2023-08-10,1,0,0,1,1,17
2023-08-09,1,0,1,0,1,17
2023-08-08,4,0,1,0,1,17
2023-08-07,0,1,1,0,1,17
2023-08-06,1,2,2,0,1,17
2023-08-05,2,0,0,0,1,17
2023-08-04,0,2,0,0,1,17
2023-08-03,0,2,0,0,1,17
2023-08-02,2,0,0,0,1,17
2023-08-01,1,0,1,0,1,17
2023-07-31,1,1,1,0,1,17
2023-07-30,0,1,1,0,0,17
2023-07-28,0,1,0,1,0,17
2023-07-27,5,1,0,1,0,17
2023-07-26,3,0,1,1,0,17
2023-07-25,1,0,0,1,0,17
2023-07-24,0,1,0,1,0,18
2023-07-23,1,1,0,0,0,18
2023-07-22,3,0,1,0,0,18
2023-07-21,1,0,1,0,0,18
2023-07-20,1,0,1,0,0,18
2023-07-19,3,0,0,0,0,18
2023-07-18,0,1,0,0,0,18
2023-07-17,0,1,0,0,0,18
2023-07-16,5,0,0,0,0,18
2023-07-15,2,0,0,0,0,19
2023-07-14,1,1,0,0,1,19
2023-07-13,4,0,0,0,1,19
2023-07-12,2,0,0,0,1,19
2023-07-11,1,0,1,1,1,19
2023-07-10,1,0,1,1,2,18
2023-07-09,3,3,0,1,2,18
2023-07-08,3,1,0,1,1,18
2023-07-07,2,3,0,2,2,17
2023-07-06,3,0,0,2,2,17
2023-07-05,2,0,0,1,2,17
2023-07-04,3,0,1,1,2,17
2023-07-03,1,0,1,1,2,17
2023-07-02,0,0,1,1,2,17
2023-07-01,0,0,0,0,2,17
2023-06-30,2,1,1,0,2,17
2023-06-29,2,1,1,0,2,17
2023-06-28,3,0,1,0,3,16
2023-06-27,0,0,0,0,3,16
2023-06-26,0,10,0,0,4,16
2023-06-25,5,5,0,0,3,16
2023-06-24,6,0,0,1,3,16
2023-06-23,2,0,0,1,2,16
2023-06-22,4,1,0,2,1,16
2023-06-21,1,1,0,3,2,16
2023-06-20,1,0,1,3,2,16
2023-06-19,1,3,1,4,2,16
2023-06-18,0,3,1,3,2,16
2023-06-17,3,0,1,3,2,16
2023-06-16,3,1,1,2,2,16
2023-06-15,2,1,2,1,2,16
2023-06-14,2,0,2,1,2,16
2023-06-13,3,1,2,1,1,17
2023-06-12,0,1,3,2,1,17
2023-06-11,1,1,1,2,1,17
2023-06-10,2,4,1,2,1,17
2023-06-09,2,2,0,2,1,17
2023-06-08,2,1,0,1,2,16
2023-06-07,1,1,1,2,3,16
2023-06-06,3,0,1,1,1,16
2023-06-05,0,0,2,3,1,16
2023-06-04,0,0,1,3,1,16
2023-06-03,0,1,1,3,1,16
2023-06-02,2,1,0,2,1,16
2023-06-01,4,1,1,2,1,16
2023-05-31,1,1,1,2,1,16
2023-05-30,2,0,2,0,1,16
2023-05-29,1,4,3,0,1,16
2023-05-28,2,3,3,0,1,16
2023-05-27,2,1,2,0,1,16
2023-05-26,1,1,0,0,1,16
2023-05-25,2,3,0,0,1,16
2023-05-24,1,2,0,0,0,16
2023-05-23,2,0,0,1,0,16
2023-05-22,2,0,0,1,0,16
2023-05-21,0,1,2,1,0,16
2023-05-20,3,4,0,1,1,15
2023-05-19,2,5,0,1,1,15
2023-05-18,2,3,0,1,1,15
2023-05-17,3,0,0,0,1,15
2023-05-16,3,0,1,0,1,15
2023-05-15,0,1,1,0,1,15
2023-05-14,2,2,1,0,1,15
2023-05-13,1,1,0,0,1,15
2023-05-12,3,1,0,0,1,15
2023-05-11,0,1,1,0,1,15
2023-05-10,1,1,1,0,1,15
2023-05-09,1,1,0,0,1,15
2023-05-08,1,5,0,0,1,15
2023-05-07,2,3,0,0,2,14
2023-05-06,3,0,0,0,2,14
2023-05-05,3,0,0,0,1,14
2023-05-04,1,1,0,1,1,14
2023-05-03,3,0,0,2,1,14
2023-05-02,6,2,0,1,1,15
2023-05-01,5,0,1,1,1,15
2023-04-30,0,0,1,1,1,15
2023-04-29,3,0,1,1,1,15
2023-04-28,0,0,0,0,1,15
2023-04-27,0,1,1,0,1,15
2023-04-26,0,1,1,0,2,15
2023-04-25,1,1,1,0,2,15
2023-04-24,0,1,0,0,2,15
2023-04-23,1,1,0,0,2,15
2023-04-22,0,1,0,0,1,15
2023-04-21,1,0,0,1,1,16
2023-04-20,2,0,0,1,1,16
2023-04-19,3,0,0,1,1,16
2023-04-18,0,0,0,1,1,16
2023-04-17,2,0,0,1,0,16
2023-04-16,0,0,0,2,0,16
2023-04-15,0,0,0,1,0,16
2023-04-14,7,0,1,1,0,16
2023-04-13,4,0,1,1,0,16
2023-04-12,1,0,1,1,0,16
2023-04-11,0,0,0,1,0,16
2023-04-10,0,1,0,0,0,16
2023-04-09,0,1,1,0,0,16
2023-04-08,1,0,1,0,2,14
2023-04-07,1,0,1,0,2,14
2023-04-06,1,0,0,0,2,15
2023-04-05,3,1,0,0,2,16
2023-04-04,1,2,4,0,2,18
2023-04-03,3,0,6,0,2,18
2023-04-02,0,1,5,0,2,18
2023-04-01,0,2,0,0,2,18
2023-03-31,3,9,1,0,2,18
2023-03-30,4,10,1,0,3,17
2023-03-29,7,3,0,0,3,17
2023-03-28,8,2,2,0,3,17
2023-03-27,0,2,1,0,3,17
2023-03-26,2,1,0,0,3,17
2023-03-25,0,2,0,0,3,17
2023-03-24,3,3,0,0,1,17
2023-03-23,3,0,0,2,1,17
2023-03-22,1,5,0,2,1,17
2023-03-21,6,0,0,2,1,17
2023-03-20,2,0,0,2,1,17
2023-03-19,1,1,0,2,1,17
2023-03-18,2,1,0,2,1,17
2023-03-17,2,0,0,0,1,17
2023-03-16,5,0,2,0,1,17
2023-03-15,0,0,2,0,0,17
2023-03-14,0,0,2,1,0,17
2023-03-13,0,0,0,1,0,17
2023-03-12,2,2,0,1,1,16
2023-03-11,0,2,0,1,1,16
2023-03-10,5,0,0,1,1,16
2023-03-09,4,0,0,1,1,16
2023-03-08,2,0,0,0,1,16
2023-03-07,1,0,1,0,1,16
2023-03-06,1,1,1,0,1,16
2023-03-05,1,1,1,0,1,16
2023-03-04,1,0,0,0,1,16
2023-03-03,0,1,0,0,1,16
2023-03-02,2,1,0,0,1,16
2023-03-01,3,0,0,0,1,16
2023-02-28,0,0,0,0,1,16
2023-02-27,2,2,0,0,1,16
2023-02-26,1,1,0,0,1,16
2023-02-25,5,1,0,0,0,16
2023-02-24,0,2,0,1,0,16
2023-02-23,1,1,0,1,0,16
2023-02-22,1,0,0,1,0,16
2023-02-21,2,0,0,1,0,16
2023-02-20,1,0,0,1,0,16
2023-02-19,0,0,0,1,0,16
2023-02-18,4,1,0,0,0,16
2023-02-17,1,0,1,0,0,16
2023-02-16,0,0,1,0,0,17
2023-02-15,0,0,1,0,0,17
2023-02-14,0,0,0,0,0,17
2023-02-13,0,1,0,0,0,17
2023-02-12,1,2,0,1,1,17
2023-02-11,2,0,0,1,1,17
2023-02-10,3,0,0,1,1,17
2023-02-09,1,0,0,1,1,17
2023-02-08,1,0,0,0,1,17
2023-02-07,0,1,1,0,0,17
2023-02-06,1,0,1,1,0,17
2023-02-05,0,0,1,1,0,17
2023-02-04,0,0,0,1,0,17
2023-02-03,1,1,0,1,0,17
2023-02-02,0,1,0,1,0,17
2023-02-01,1,0,1,2,0,17
2023-01-31,1,0,1,0,0,17
2023-01-30,3,0,3,0,0,17
2023-01-29,0,0,2,0,0,17
2023-01-28,1,1,2,0,0,17
2023-01-27,2,1,0,0,0,17
2023-01-26,2,2,0,0,0,17
2023-01-25,5,2,0,0,0,17
2023-01-24,3,0,0,0,0,17
2023-01-23,1,0,0,0,0,17
2023-01-22,1,1,0,0,0,17
2023-01-21,4,0,0,0,0,17
2023-01-20,2,0,0,0,0,17
2023-01-19,2,1,0,0,0,17
2023-01-18,0,1,1,0,0,17
2023-01-17,1,0,1,0,0,18
2023-01-16,0,1,0,0,0,18
2023-01-15,3,1,0,0,0,18
2023-01-14,1,1,0,0,0,18
2023-01-13,3,0,0,0,0,18
2023-01-12,3,1,0,0,1,17
2023-01-11,2,1,0,0,1,17
2023-01-10,1,1,0,0,1,17
2023-01-09,1,0,0,0,1,17
2023-01-08,1,1,0,0,1,17
2023-01-07,1,1,0,0,1,17
2023-01-06,3,0,1,0,1,18
2023-01-05,1,0,1,0,1,18
2023-01-04,1,0,0,0,1,18
2023-01-03,0,1,0,0,1,18
2023-01-02,1,1,0,0,1,18
2023-01-01,1,0,0,0,1,18
2022-12-31,1,0,0,0,1,19
2022-12-30,2,0,0,0,1,19
2022-12-29,0,0,0,0,2,18
2022-12-28,0,0,0,0,1,18
2022-12-27,0,0,0,1,1,18
2022-12-26,0,1,0,1,1,18
2022-12-25,0,1,0,1,1,18
2022-12-24,1,0,0,1,1,18
2022-12-23,1,0,0,1,1,18
2022-12-22,1,0,0,1,1,19
2022-12-21,0,0,0,0,1,19
2022-12-20,2,0,1,0,1,19
2022-12-19,0,2,1,0,1,19
