is:open label:{{param}},S-waiting-on-author,S-waiting-on-review,S-waiting-on-team,S-blocked,S-waiting-on-bors
2020-04-06,4,12,0,1,0
2020-04-05,4,11,0,1,0
2020-04-04,4,15,0,1,0
2020-04-03,4,15,0,1,0
2020-04-02,4,15,0,1,0
2020-04-01,4,17,0,1,0
2020-03-31,4,21,0,1,0
2020-03-30,4,20,0,1,0
2020-03-29,4,19,0,1,0
2020-03-28,4,19,0,1,0
2020-03-27,4,19,0,1,0
2020-03-26,4,18,0,1,0
2020-03-25,4,19,0,1,0
2020-03-24,4,21,0,1,0
2020-03-23,4,19,0,1,0
2020-03-22,4,18,0,1,0
2020-03-21,4,19,0,1,0
2020-03-20,4,23,0,1,0
2020-03-19,4,22,0,1,0
2020-03-18,4,22,0,1,0
2020-03-17,4,22,0,1,0
2020-03-16,4,19,0,1,0
2020-03-15,4,19,0,1,0
2020-03-14,4,18,0,1,0
2020-03-13,4,16,0,1,0
2020-03-12,4,17,0,1,0
2020-03-11,4,20,0,2,0
2020-03-10,4,18,0,2,0
2020-03-09,4,17,0,2,0
2020-03-08,4,18,0,2,0
2020-03-07,4,19,0,2,0
2020-03-06,4,19,0,2,0
2020-03-05,4,20,0,2,0
2020-03-04,4,20,0,2,0
2020-03-03,4,24,0,2,0
2020-03-02,5,17,0,2,0
2020-03-01,5,16,0,2,0
2020-02-29,5,18,0,2,0
2020-02-28,5,19,0,2,0
2020-02-27,5,19,0,2,0
2020-02-26,5,18,0,2,0
2020-02-25,5,17,0,2,0
2020-02-24,6,16,0,2,0
2020-02-23,6,17,0,2,0
2020-02-22,6,16,0,2,0
2020-02-21,6,14,0,2,0
2020-02-20,6,15,0,2,0
2020-02-19,6,18,0,2,0
2020-02-18,6,18,0,2,0
2020-02-17,6,12,0,2,0
2020-02-16,6,11,0,2,0
2020-02-15,6,14,0,2,0
2020-02-14,6,13,0,2,0
2020-02-13,6,11,0,2,0
2020-02-12,6,13,0,2,0
2020-02-11,6,16,0,2,0
2020-02-10,6,11,0,2,0
2020-02-09,6,11,0,2,0
2020-02-08,6,11,0,2,0
2020-02-07,6,12,0,2,0
2020-02-06,6,12,0,2,0
2020-02-05,6,14,0,2,0
2020-02-04,6,17,0,2,0
2020-02-03,6,13,0,2,0
2020-02-02,6,14,0,2,0
2020-02-01,6,14,0,2,0
2020-01-31,6,14,0,2,0
2020-01-30,6,14,0,2,0
2020-01-29,6,15,0,2,0
2020-01-28,6,15,0,2,0
2020-01-27,6,16,0,2,0
2020-01-26,6,16,0,2,0
2020-01-25,6,16,0,2,0
2020-01-24,6,19,0,2,0
2020-01-23,6,20,0,2,0
2020-01-22,6,20,0,2,0
2020-01-21,6,19,0,2,0
2020-01-20,6,12,0,2,0
2020-01-19,7,13,0,2,0
2020-01-18,7,14,0,2,0
2020-01-17,7,12,0,2,0
2020-01-16,7,14,0,2,0
2020-01-15,8,18,0,2,0
2020-01-14,8,15,0,2,0
2020-01-13,8,14,0,2,0
2020-01-12,8,14,0,2,0
2020-01-11,8,14,0,2,0
2020-01-10,8,16,0,2,0
2020-01-09,8,16,0,2,0
2020-01-08,8,16,0,2,0
2020-01-07,8,13,0,2,0
2020-01-06,8,12,0,2,0
2020-01-05,7,14,0,2,0
2020-01-04,7,16,0,2,0
2020-01-03,8,17,0,2,0
2019-12-28,8,20,0,2,0
2019-12-27,8,19,0,2,0
2019-12-26,8,13,0,2,0
2019-12-25,8,13,0,2,0
2019-12-24,7,11,0,2,0
2019-12-23,8,14,0,2,0
2019-12-22,8,12,0,2,0
2019-12-21,9,15,0,2,0
2019-12-20,10,15,0,2,0
2019-12-19,11,14,0,3,0
2019-12-18,9,13,0,3,0
2019-12-17,9,10,0,3,0
2019-12-16,8,12,0,3,0
2019-12-15,8,11,0,3,0
2019-12-14,8,9,0,3,0
2019-12-13,7,10,0,3,0
2019-12-12,8,10,0,3,0
2019-12-11,7,11,0,3,0
