is:open updated:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2023-10-17,0,1,2,2,7,12
2023-10-16,2,1,8,2,6,12
2023-10-15,2,1,6,2,7,12
2023-10-14,2,2,6,2,6,12
2023-10-13,0,3,1,3,6,12
2023-10-12,3,7,1,2,6,12
2023-10-11,1,6,1,2,6,11
2023-10-10,7,1,1,3,6,12
2023-10-09,2,5,2,3,6,12
2023-10-08,3,4,2,3,7,10
2023-10-07,3,4,2,3,3,10
2023-10-06,3,3,3,8,4,10
2023-10-05,5,0,1,10,5,9
2023-10-04,2,5,2,8,5,9
2023-10-03,2,3,3,9,5,9
2023-10-02,5,2,3,8,5,9
2023-10-01,0,3,4,6,6,8
2023-09-30,3,0,4,1,6,8
2023-09-29,1,3,9,1,6,8
2023-09-28,0,4,8,0,5,8
2023-09-27,5,1,7,1,5,8
2023-09-26,1,6,2,1,5,8
2023-09-25,3,9,2,2,5,8
2023-09-24,6,5,0,2,5,8
2023-09-23,7,4,0,3,3,8
2023-09-22,2,7,5,8,3,11
2023-09-21,6,1,5,7,3,11
2023-09-20,7,1,5,6,4,9
2023-09-19,1,6,2,5,4,9
2023-09-18,1,9,5,5,4,9
2023-09-17,5,5,4,4,4,9
2023-09-16,7,1,5,1,4,8
2023-09-15,2,3,4,2,4,8
2023-09-14,4,8,4,2,10,2
2023-09-13,4,6,4,1,9,2
2023-09-12,8,1,2,2,9,2
2023-09-11,5,7,2,3,9,2
2023-09-10,4,8,1,3,9,2
2023-09-09,9,1,0,2,10,2
2023-09-08,3,3,2,8,15,2
2023-09-07,1,3,3,8,16,2
2023-09-06,4,0,4,2,16,3
2023-09-05,1,1,8,1,15,3
2023-09-04,0,3,8,4,16,2
2023-09-03,1,3,7,4,16,2
2023-09-02,2,2,1,4,15,2
2023-09-01,2,8,0,4,15,2
2023-08-31,3,8,2,5,15,2
2023-08-30,9,1,3,5,3,2
2023-08-29,2,1,2,18,3,2
2023-08-28,2,2,4,17,2,2
2023-08-27,0,4,5,18,2,2
2023-08-26,2,2,5,17,1,2
2023-08-25,3,0,2,17,1,2
2023-08-24,1,4,2,18,1,2
2023-08-23,0,5,2,2,2,2
2023-08-22,6,1,18,2,2,2
2023-08-21,3,2,17,1,2,3
2023-08-20,1,3,19,1,1,3
2023-08-19,2,1,1,1,1,3
2023-08-18,2,21,2,1,1,3
