is:open label:{{param}},S-waiting-on-author,S-waiting-on-review,S-waiting-on-team,S-blocked,S-waiting-on-bors
2023-05-07,6,14,0,2,0
2023-05-06,6,12,0,2,0
2023-05-05,6,12,0,2,0
2023-05-04,7,11,0,2,0
2023-05-03,7,7,0,2,0
2023-05-02,8,10,0,2,0
2023-05-01,8,10,0,2,0
2023-04-30,8,10,0,2,0
2023-04-29,8,9,0,2,0
2023-04-28,8,9,0,2,0
2023-04-27,8,10,0,2,0
2023-04-26,8,7,0,2,0
2023-04-25,8,12,0,2,0
2023-04-24,8,14,0,2,0
2023-04-23,8,13,0,2,0
2023-04-22,8,13,0,2,0
2023-04-21,8,13,0,2,0
2023-04-20,8,11,0,2,0
2023-04-19,8,11,0,2,0
2023-04-18,8,10,0,2,0
2023-04-17,8,8,0,2,0
2023-04-16,8,8,0,2,0
2023-04-15,8,7,0,2,0
2023-04-14,8,6,0,2,0
2023-04-13,8,6,0,2,0
2023-04-12,8,7,0,2,0
2023-04-11,8,11,0,2,0
2023-04-10,8,11,0,2,0
2023-04-09,8,10,0,2,0
2023-04-08,8,6,0,2,0
2023-04-07,8,7,0,2,0
2023-04-06,8,6,0,2,0
2023-04-05,9,11,0,2,0
2023-04-04,9,10,0,2,0
2023-04-03,9,9,0,2,0
2023-04-02,9,8,0,2,0
2023-04-01,9,8,0,2,0
2023-03-31,9,7,0,2,0
2023-03-30,9,10,0,2,0
2023-03-29,9,5,0,2,0
2023-03-28,9,5,0,2,0
2023-03-27,9,5,0,2,0
2023-03-26,9,5,0,2,0
2023-03-25,8,7,0,2,0
2023-03-24,8,7,0,2,0
2023-03-23,8,7,0,2,0
2023-03-22,8,7,0,2,0
2023-03-21,8,7,0,2,0
2023-03-20,8,7,0,2,0
2023-03-19,8,6,0,2,0
2023-03-18,9,6,0,2,0
2023-03-17,9,6,0,2,0
2023-03-16,9,4,0,2,0
2023-03-15,14,5,0,2,0
2023-03-14,14,13,0,2,0
2023-03-13,14,7,0,2,0
2023-03-12,14,8,0,2,0
2023-03-11,15,7,0,2,0
2023-03-10,15,7,0,2,0
2023-03-09,15,6,0,2,0
2023-03-08,15,5,0,2,0
2023-03-07,15,6,0,2,0
2023-03-06,15,6,0,2,0
2023-03-05,15,6,0,2,0
2023-03-04,15,6,0,2,0
2023-03-03,15,7,0,2,0
2023-03-02,15,6,0,2,0
2023-03-01,15,7,0,3,0
2023-02-28,16,7,0,2,0
2023-02-27,15,9,0,2,0
2023-02-26,15,8,0,2,0
2023-02-25,15,8,0,2,0
2023-02-24,15,9,0,2,0
2023-02-23,15,9,0,2,0
2023-02-22,15,9,0,2,0
2023-02-21,15,7,0,2,0
2023-02-20,15,7,0,2,0
2023-02-19,15,5,0,2,0
2023-02-18,15,6,0,2,0
2023-02-17,14,7,0,2,0
2023-02-16,14,6,0,2,0
2023-02-15,14,5,0,2,0
2023-02-14,14,8,0,2,0
2023-02-13,15,10,0,2,0
2023-02-12,15,10,0,2,0
2023-02-11,15,7,0,2,0
2023-02-10,16,8,0,2,0
2023-02-02,0,0,0,0,0
