is:open updated:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2023-02-02,8,3,0,8,2,21
2023-02-01,6,3,3,8,3,21
2023-01-31,6,0,6,7,5,21
2023-01-30,4,4,7,7,5,21
2023-01-29,4,3,5,5,4,21
2023-01-28,1,5,5,5,3,21
2023-01-27,4,5,4,2,2,20
2023-01-26,4,5,9,4,1,20
2023-01-25,4,3,7,5,1,20
2023-01-24,5,3,7,5,1,20
2023-01-23,3,4,1,5,1,20
2023-01-22,4,9,0,5,1,20
2023-01-21,4,10,2,4,1,20
2023-01-20,12,2,3,2,1,20
2023-01-19,5,2,8,4,1,21
2023-01-18,2,2,8,4,1,21
2023-01-17,2,4,5,3,1,21
2023-01-16,2,7,3,3,5,17
2023-01-15,6,8,2,0,5,17
2023-01-14,7,8,5,0,6,17
2023-01-13,13,2,3,0,10,13
2023-01-12,9,4,3,2,11,13
2023-01-11,5,5,0,3,10,13
2023-01-10,6,10,0,4,10,13
2023-01-09,7,10,0,4,10,13
2023-01-08,13,2,0,4,10,13
2023-01-07,6,3,1,2,10,15
2023-01-06,5,4,3,4,11,15
2023-01-05,3,6,3,2,11,15
2023-01-04,4,4,5,1,11,15
2023-01-03,8,0,3,1,11,15
2023-01-02,6,4,3,2,10,15
2023-01-01,1,3,1,3,5,15
2022-12-31,3,2,1,7,5,15
2022-12-30,2,3,2,6,5,15
2022-12-29,5,2,4,6,0,15
2022-12-28,1,4,4,12,0,15
2022-12-27,1,5,3,12,0,15
2022-12-26,5,2,1,11,0,15
2022-12-25,3,3,1,6,0,15
2022-12-24,4,4,6,6,0,15
2022-12-23,3,3,7,6,0,15
2022-12-22,4,3,6,0,0,15
2022-12-21,4,2,6,0,0,15
2022-12-20,4,11,6,0,0,15
2022-12-19,4,10,7,0,1,14
2022-12-18,13,1,0,0,1,14
2022-12-17,6,14,0,0,1,17
2022-12-16,5,15,0,0,1,17
2022-12-15,18,2,0,0,1,17
2022-12-14,5,6,1,1,3,21
2022-12-13,5,7,1,1,4,21
2022-12-12,4,6,0,1,3,21
2022-12-11,6,3,0,2,4,21
2022-12-10,5,1,0,2,3,21
2022-12-09,5,1,1,5,4,21
2022-12-08,4,2,2,4,4,21
2022-12-07,3,2,3,4,3,21
2022-12-06,4,1,2,4,2,22
2022-12-05,3,3,2,4,4,20
2022-12-04,4,3,3,3,3,20
2022-12-03,3,3,3,3,4,20
2022-12-02,6,2,3,3,4,20
2022-12-01,3,5,3,3,5,19
2022-11-30,6,3,2,2,5,19
2022-11-29,4,5,2,1,5,19
2022-11-28,5,6,2,1,4,19
2022-11-27,9,7,2,1,7,16
2022-11-26,10,2,3,1,8,16
2022-11-25,5,4,3,1,9,17
2022-11-24,1,7,2,1,9,17
2022-11-23,6,4,0,1,9,18
2022-11-22,6,7,0,1,12,16
2022-11-21,8,5,0,1,12,16
2022-11-20,9,3,3,2,10,16
2022-11-19,7,2,4,5,12,15
2022-11-18,3,6,3,5,11,15
2022-11-17,5,4,1,6,11,15
2022-11-16,5,3,0,6,9,15
2022-11-15,3,3,1,6,8,15
2022-11-14,4,2,2,7,8,15
2022-11-13,6,2,4,5,8,15
2022-11-12,0,4,7,5,4,15
2022-11-11,4,1,6,8,4,15
2022-11-10,2,4,6,8,4,15
2022-11-09,3,5,3,5,4,15
2022-11-08,7,6,4,4,4,15
2022-11-07,3,10,6,6,3,15
2022-11-06,6,5,7,7,3,15
2022-11-05,7,3,6,3,4,14
2022-11-04,2,7,10,3,2,14
2022-11-03,2,10,9,5,2,14
2022-11-02,9,4,4,5,2,14
2022-11-01,6,9,0,5,2,14
2022-10-31,8,12,1,3,1,14
2022-10-30,12,8,3,4,1,14
2022-10-29,13,4,3,5,1,14
2022-10-28,10,4,3,5,1,14
2022-10-27,6,9,2,5,2,13
2022-10-26,11,5,2,4,2,13
2022-10-25,12,4,4,3,2,13
2022-10-24,13,0,4,0,3,13
2022-10-23,4,8,9,3,6,14
2022-10-22,6,4,7,3,6,14
2022-10-21,7,4,6,3,4,14
2022-10-20,5,5,2,5,4,14
2022-10-19,6,11,1,4,3,14
2022-10-18,7,11,2,4,3,14
2022-10-17,10,5,3,3,3,14
2022-10-16,11,3,5,4,2,14
2022-10-15,6,5,4,6,1,14
2022-10-14,4,7,2,5,2,13
2022-10-13,9,5,3,4,2,13
2022-10-12,7,8,4,3,1,13
2022-10-11,11,5,6,4,1,13
2022-10-10,6,4,5,4,1,13
2022-10-09,6,5,5,2,1,13
2022-10-08,3,7,6,1,3,11
2022-10-07,7,7,5,1,3,11
2022-10-06,7,7,3,1,5,11
2022-10-05,10,7,1,0,6,11
2022-10-04,9,7,2,0,6,11
2022-10-03,11,3,3,0,6,11
2022-10-02,11,6,2,1,8,13
2022-10-01,10,3,1,1,7,13
2022-09-30,8,5,1,3,8,13
2022-09-29,8,5,1,3,7,13
2022-09-28,10,3,1,4,7,12
2022-09-27,12,4,2,4,7,12
2022-09-26,10,3,3,8,5,12
2022-09-25,10,3,1,9,5,12
2022-09-24,5,8,3,6,5,13
2022-09-23,7,5,6,6,2,13
2022-09-22,8,6,7,8,2,13
2022-09-21,2,7,5,7,1,13
2022-09-20,7,5,2,6,4,10
2022-09-19,2,12,5,4,4,10
2022-09-18,6,6,6,4,5,10
2022-09-17,9,1,5,4,6,10
2022-09-16,4,4,4,1,6,10
2022-09-15,5,4,5,1,6,10
2022-09-14,3,8,5,0,6,11
2022-09-13,7,6,6,0,6,10
2022-09-12,11,3,1,3,6,10
2022-09-11,8,8,2,3,5,10
2022-09-10,4,7,2,3,5,10
2022-09-09,8,4,2,3,5,10
2022-09-08,4,4,2,3,7,10
2022-09-07,6,2,3,2,7,10
2022-09-06,6,1,5,1,7,10
2022-09-05,5,3,4,1,4,10
2022-09-04,5,5,3,3,3,10
2022-09-03,3,5,2,4,2,10
2022-09-02,7,4,1,5,2,10
2022-09-01,3,6,3,5,2,10
2022-08-31,6,2,3,7,2,10
2022-08-30,3,2,3,9,2,11
2022-08-29,2,4,1,5,1,12
2022-08-28,4,3,6,5,0,12
2022-08-27,4,3,6,3,0,12
2022-08-26,4,4,10,3,0,12
2022-08-25,4,2,6,2,0,12
2022-08-24,3,6,7,2,0,12
2022-08-23,2,6,1,2,0,12
2022-08-22,8,7,1,1,0,12
2022-08-21,4,8,1,2,1,15
2022-08-20,12,1,2,2,2,16
2022-08-19,5,3,3,3,6,20
2022-08-18,5,3,3,2,6,20
2022-08-17,6,6,4,2,6,19
2022-08-16,7,4,7,2,5,19
2022-08-15,7,2,8,4,5,19
2022-08-14,6,5,4,6,5,19
2022-08-13,5,8,2,5,4,19
2022-08-12,6,9,2,6,4,19
2022-08-11,5,7,3,7,6,19
2022-08-10,9,2,3,2,7,18
2022-08-09,5,1,8,1,4,20
2022-08-08,5,4,9,4,5,20
2022-08-07,3,6,9,4,5,20
2022-08-06,7,2,2,3,4,20
2022-08-05,4,12,3,4,5,19
2022-08-04,5,10,3,4,5,18
2022-08-03,12,4,2,5,5,18
2022-08-02,5,5,5,2,5,18
2022-08-01,6,8,4,4,5,17
2022-07-31,5,10,3,5,5,17
2022-07-30,8,6,3,4,4,17
2022-07-29,10,4,1,5,4,18
2022-07-28,7,7,1,5,4,18
2022-07-27,6,8,2,5,4,18
