is:open label:{{param}},S-waiting-on-author,S-waiting-on-review,S-waiting-on-team,S-blocked,S-waiting-on-bors
2025-09-13,61,103,0,25,0
2025-09-12,62,102,0,25,0
2025-09-11,61,108,0,25,0
2025-09-10,61,103,0,24,0
2025-09-09,63,98,0,23,0
2025-09-08,63,98,0,23,0
2025-09-07,64,94,0,23,0
2025-09-06,63,91,0,23,0
2025-09-05,61,95,0,22,0
2025-09-04,61,93,0,22,0
2025-09-03,61,91,0,20,0
2025-09-02,61,91,0,20,0
2025-09-01,61,90,0,20,0
2025-08-31,64,90,0,20,0
2025-08-30,64,87,0,20,0
2025-08-29,60,90,0,20,0
2025-08-28,60,92,0,20,0
2025-08-27,60,94,0,19,0
2025-08-26,60,89,0,19,0
2025-08-25,62,88,0,19,0
2025-08-24,62,98,0,18,0
2025-08-23,63,106,0,18,0
2025-08-22,62,113,0,17,0
2025-08-21,62,116,0,17,0
2025-08-20,61,112,0,17,0
2025-08-19,61,109,0,17,0
2025-08-18,60,111,0,17,0
2025-08-17,60,111,0,17,0
2025-08-16,60,111,0,17,0
2025-08-15,58,110,0,16,0
2025-08-14,58,111,0,16,0
2025-08-13,58,103,0,16,0
2025-08-12,58,102,0,16,0
2025-08-11,58,99,0,16,0
2025-08-10,58,99,0,15,0
2025-08-09,58,101,0,15,0
2025-08-08,58,99,0,15,0
2025-08-07,58,95,0,15,0
2025-08-06,58,100,0,15,0
2025-08-05,58,96,0,15,0
2025-08-04,59,99,0,16,0
2025-08-03,58,99,0,16,0
2025-08-02,60,95,0,16,0
2025-08-01,60,94,0,16,0
2025-07-31,60,93,0,16,0
2025-07-30,61,94,0,16,0
2025-07-29,60,96,0,16,0
2025-07-28,60,97,0,16,0
2025-07-27,60,96,0,16,0
2025-07-26,60,98,0,16,0
2025-07-25,60,96,0,16,0
2025-07-24,61,93,0,16,0
2025-07-23,61,94,0,16,0
2025-07-22,61,94,0,16,0
2025-07-21,61,92,0,16,0
2025-07-20,61,94,0,15,0
2025-07-19,62,99,0,15,0
2025-07-18,61,97,0,14,0
2025-07-17,62,93,0,15,0
2025-07-16,62,97,0,10,0
2025-07-15,62,99,0,9,0
2025-07-14,63,102,0,9,0
2025-07-13,62,99,0,9,0
2025-07-12,61,99,0,8,0
2025-07-11,60,100,0,8,0
2025-07-10,60,102,0,8,0
2025-07-09,61,103,0,8,0
2025-07-08,61,100,0,8,0
2025-07-07,62,97,0,8,0
2025-07-06,61,106,0,7,0
2025-07-05,62,102,0,7,0
2025-07-04,62,102,0,7,0
2025-07-03,62,102,0,7,0
2025-07-02,62,104,0,7,0
2025-07-01,61,108,0,7,0
2025-06-30,61,105,0,6,0
2025-06-29,60,107,0,5,0
2025-06-28,61,105,0,5,0
2025-06-27,61,104,0,5,0
2025-06-26,60,101,0,5,0
2025-06-25,60,96,0,5,0
2025-06-24,59,94,0,5,0
2025-06-23,59,91,0,5,0
2025-06-22,58,86,0,5,0
2025-06-21,59,83,0,5,0
2025-06-20,59,88,0,5,0
2025-06-19,60,90,0,5,0
2025-06-18,58,89,0,5,0
2025-06-17,57,89,0,5,0
2025-06-16,58,88,0,5,0
2025-06-15,58,88,0,5,0
2025-06-14,58,87,0,5,0
