is:open updated:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2020-08-18,77,49,50,54,16,5
2020-08-17,69,54,40,54,13,5
2020-08-16,60,74,34,58,13,5
2020-08-15,68,74,35,47,10,5
2020-08-14,109,54,48,35,10,5
2020-08-13,88,43,58,33,27,5
2020-08-12,82,37,56,42,10,5
2020-08-11,69,50,46,74,12,5
2020-08-10,68,65,31,75,9,5
2020-08-09,77,72,29,78,7,5
2020-08-08,81,55,33,76,3,7
2020-08-07,94,57,30,83,5,7
2020-08-06,69,56,32,74,19,7
2020-08-05,71,46,45,32,17,7
2020-08-04,71,30,82,33,13,7
2020-08-03,49,41,80,32,10,8
2020-08-02,50,54,73,32,7,9
2020-08-01,67,45,20,21,1,9
2020-07-31,58,104,31,25,1,9
2020-07-30,65,100,29,30,4,9
2020-07-29,144,25,29,29,2,9
2020-07-28,59,36,35,51,7,9
2020-07-27,51,60,31,46,3,9
2020-07-26,48,67,32,43,4,10
2020-07-25,62,46,41,32,4,10
2020-07-24,88,36,50,22,7,8
2020-07-23,70,40,58,30,26,8
2020-07-22,60,45,44,28,21,9
2020-07-21,73,51,32,35,20,9
2020-07-20,57,72,17,33,20,10
2020-07-19,72,63,17,30,15,10
2020-07-18,86,45,13,32,14,12
2020-07-17,90,41,28,22,20,12
2020-07-16,92,29,42,36,35,16
2020-07-15,67,27,39,41,29,16
2020-07-14,44,52,40,47,40,16
2020-07-13,49,50,30,48,36,14
2020-07-12,58,59,30,50,33,13
2020-07-11,66,52,24,52,26,14
2020-07-10,70,49,28,43,19,14
2020-07-09,58,47,42,58,18,14
2020-07-08,55,46,45,51,4,14
2020-07-07,66,36,49,59,5,15
2020-07-06,58,40,34,54,5,14
2020-07-05,52,56,35,50,5,13
2020-07-04,56,59,28,44,5,13
2020-07-03,80,36,32,28,5,13
2020-07-02,64,46,43,28,13,13
2020-07-01,70,53,48,18,6,13
2020-06-30,62,44,54,25,8,13
2020-06-29,55,49,37,27,7,13
2020-06-28,57,72,31,27,6,13
2020-06-27,80,51,18,25,3,13
2020-06-26,100,50,21,25,6,13
2020-06-25,58,62,28,30,12,11
2020-06-24,81,36,22,46,11,11
2020-06-23,61,40,34,61,10,12
2020-06-22,51,50,33,56,10,13
2020-06-21,68,34,33,53,5,13
2020-06-20,68,39,30,57,6,14
2020-06-19,60,84,28,57,7,14
2020-06-18,58,80,39,19,8,12
2020-06-17,87,40,73,18,8,12
2020-06-16,75,37,71,31,7,12
2020-06-15,51,58,74,30,9,11
2020-06-14,59,58,26,18,9,11
2020-06-13,62,99,31,8,10,14
2020-06-12,76,86,35,9,8,14
2020-06-11,131,57,42,10,9,13
2020-06-10,75,50,71,27,8,12
2020-06-09,81,51,63,22,9,11
2020-06-08,52,78,69,21,9,10
2020-06-07,87,60,21,11,9,10
2020-06-06,70,96,42,8,11,10
2020-06-05,66,83,35,9,14,10
2020-06-04,109,40,45,6,15,9
2020-06-03,57,39,49,19,12,9
2020-06-02,66,53,60,18,14,7
2020-06-01,56,62,55,15,14,7
2020-05-31,78,53,36,13,12,7
2020-05-30,69,80,25,8,12,7
2020-05-29,101,79,34,7,11,7
2020-05-28,99,58,39,8,11,7
2020-05-27,82,40,48,12,11,7
2020-05-26,65,42,45,22,10,9
2020-05-25,50,69,48,20,7,8
2020-05-24,61,58,39,19,6,8
2020-05-23,84,49,24,9,6,8
2020-05-22,73,78,33,13,5,8
2020-05-21,87,63,39,12,6,8
2020-05-20,83,32,38,17,6,7
2020-05-19,61,32,45,37,6,8
2020-05-18,46,52,48,31,4,8
2020-05-17,60,42,45,22,3,8
2020-05-16,66,47,44,8,2,8
2020-05-15,49,61,50,22,3,7
2020-05-14,61,58,52,30,4,6
2020-05-13,72,47,34,19,6,6
2020-05-12,64,56,32,31,6,6
2020-05-11,55,62,29,25,6,6
2020-05-10,65,46,42,10,10,2
2020-05-09,70,40,49,4,9,2
2020-05-08,67,47,54,7,8,2
2020-05-07,49,50,49,17,8,2
2020-05-06,69,50,28,7,9,2
2020-05-04,61,67,29,11,8,2
2020-05-03,87,39,32,8,9,2
