is:open label:{{param}},S-waiting-on-author,S-waiting-on-review,S-waiting-on-team,S-waiting-on-crater,S-waiting-on-bikeshed,S-blocked,S-waiting-on-bors,S-inactive
2022-02-05,175,284,16,1,2,45,17,0
2022-02-04,176,289,16,1,2,45,7,0
2022-02-03,176,283,16,1,2,45,9,0
2022-02-02,174,282,15,2,2,44,13,0
2022-02-01,177,274,16,2,2,44,20,0
2022-01-31,170,285,16,2,2,46,19,0
2022-01-30,181,291,15,2,2,46,16,1
2022-01-29,181,287,12,2,2,46,29,1
2022-01-28,178,285,12,2,2,44,20,1
2022-01-27,178,279,11,2,2,44,11,1
2022-01-26,179,280,12,1,2,44,8,1
2022-01-25,178,277,12,0,2,44,14,1
2022-01-24,179,272,12,0,2,43,21,1
2022-01-23,177,279,12,0,2,42,19,1
2022-01-22,173,276,12,2,2,42,29,1
2022-01-21,173,276,12,2,2,42,35,1
2022-01-20,174,281,12,2,2,42,30,1
2022-01-19,181,271,12,2,2,41,31,1
2022-01-18,187,270,12,2,2,43,43,1
2022-01-17,185,288,12,3,2,44,27,1
2022-01-16,181,299,12,3,2,43,22,1
2022-01-15,181,289,12,3,2,43,35,1
2022-01-14,179,285,12,3,2,44,46,1
2022-01-13,180,281,12,3,2,44,35,1
2022-01-12,181,275,12,3,2,45,40,1
2022-01-11,185,270,12,2,2,46,28,1
2022-01-10,173,277,12,2,2,49,17,1
2022-01-09,174,270,12,2,2,50,22,1
2022-01-08,172,273,12,3,2,50,27,1
2022-01-07,176,269,12,3,2,49,27,1
2022-01-06,179,274,12,1,2,47,16,1
2022-01-05,177,280,12,1,2,45,19,1
2022-01-04,180,285,12,2,2,46,10,1
2022-01-03,175,286,12,2,2,46,4,1
2022-01-02,178,282,13,2,2,46,12,1
2022-01-01,180,289,13,1,2,46,15,1
2021-12-31,179,293,13,1,2,47,8,1
2021-12-30,184,285,14,1,2,47,6,1
2021-12-29,183,261,14,1,2,47,17,1
2021-12-28,180,259,13,1,2,47,21,1
2021-12-27,182,255,13,1,2,47,7,1
2021-12-26,182,253,13,0,2,44,0,1
2021-12-25,182,248,13,0,2,44,3,1
2021-12-24,182,240,13,0,2,42,2,1
2021-12-23,182,232,13,0,2,43,14,1
2021-12-22,175,236,14,0,2,44,1,1
2021-12-21,173,225,14,0,2,44,10,1
2021-12-20,174,217,13,1,2,46,3,1
